hub_code,spoke_code,aircraft_type,passenger_demand,seats,mtow_tonnes,hub_lat,hub_lon,spoke_lat,spoke_lon,hub_country,hub_mass_fee,hub_pax_fee,spoke_country,spoke_mass_fee,spoke_pax_fee,hub_unit_rate,spoke_unit_rate,distance_km,distance_nm,one_way_fuel_kg,block_hours_per_leg,passengers_boarded,uncaptured_demand,blended_unit_rate,roundtrip_fuel_cost,roundtrip_hourly_cost,roundtrip_enroute_cost,roundtrip_mass_fees,roundtrip_pax_fees,total_roundtrip_doc,roundtrip_revenue,uncaptured_revenue,net_roundtrip_profit,cask_eur_per_ask,breakeven_lf,actual_lf
FRA,BUD,A321neo,100,215,89,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3918.170626832016,1.345042656795506,100,0,70.26,8698.338791567076,4842.153564463822,1567.0004723748018,801,4310,20218.4928284057,16716.716634164502,0,-3501.776194241196,0.056254767958007226,56.3,46.5
FRA,BUD,A321neo,120,215,89,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3918.170626832016,1.345042656795506,120,0,70.26,8698.338791567076,4842.153564463822,1567.0004723748018,801,5172,21080.4928284057,20060.0599609974,0,-1020.4328674082972,0.05865314702569296,58.7,55.8
FRA,BUD,A321neo,140,215,89,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3918.170626832016,1.345042656795506,140,0,70.26,8698.338791567076,4842.153564463822,1567.0004723748018,801,6034,21942.4928284057,23403.403287830304,0,1460.9104594246055,0.06105152609337868,61.1,65.1
FRA,BUD,A321neo,160,215,89,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3918.170626832016,1.345042656795506,160,0,70.26,8698.338791567076,4842.153564463822,1567.0004723748018,801,6896,22804.4928284057,26746.746614663207,0,3942.253786257508,0.06344990516106441,63.4,74.4
FRA,BUD,A321neo,180,215,89,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3918.170626832016,1.345042656795506,180,0,70.26,8698.338791567076,4842.153564463822,1567.0004723748018,801,7758,23666.4928284057,30090.089941496106,0,6423.597113090407,0.06584828422875014,65.8,83.7
FRA,BUD,A321neo,200,215,89,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3918.170626832016,1.345042656795506,200,0,70.26,8698.338791567076,4842.153564463822,1567.0004723748018,801,8620,24528.4928284057,33433.433268329005,0,8904.940439923306,0.06824666329643586,68.2,93
FRA,BUD,A321neo,220,215,89,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3918.170626832016,1.345042656795506,215,5,70.26,8698.338791567076,4842.153564463822,1567.0004723748018,801,9266.5,25174.9928284057,35940.940763453684,835.8358317082252,10765.947935047985,0.07004544759720016,70,100
FRA,KRK,A319,100,138,68,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,4035.2099343508526,1.3032952913583564,100,0,98.04,8958.166054258894,4691.8630488900835,1831.0891379348222,612,4310,20403.1182410838,16015.360894820391,0,-4387.75734626341,0.09231679752794135,92.3,72.5
FRA,KRK,A319,120,138,68,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,4035.2099343508526,1.3032952913583564,120,0,98.04,8958.166054258894,4691.8630488900835,1831.0891379348222,612,5172,21265.1182410838,19218.43307378447,0,-2046.6851672993325,0.09621703858564638,96.2,87
FRA,KRK,A319,140,138,68,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,4035.2099343508526,1.3032952913583564,138,2,98.04,8958.166054258894,4691.8630488900835,1831.0891379348222,612,5947.8,22040.9182410838,22101.19803485214,320.3072178964078,60.279793768339005,0.0997272555375809,99.7,100
FRA,KRK,A319,160,138,68,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,4035.2099343508526,1.3032952913583564,138,22,98.04,8958.166054258894,4691.8630488900835,1831.0891379348222,612,5947.8,22040.9182410838,22101.19803485214,3523.379396860486,60.279793768339005,0.0997272555375809,99.7,100
FRA,KRK,A319,180,138,68,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,4035.2099343508526,1.3032952913583564,138,42,98.04,8958.166054258894,4691.8630488900835,1831.0891379348222,612,5947.8,22040.9182410838,22101.19803485214,6726.451575824563,60.279793768339005,0.0997272555375809,99.7,100
FRA,KRK,A319,200,138,68,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,4035.2099343508526,1.3032952913583564,138,62,98.04,8958.166054258894,4691.8630488900835,1831.0891379348222,612,5947.8,22040.9182410838,22101.19803485214,9929.523754788643,60.279793768339005,0.0997272555375809,99.7,100
FRA,KRK,A319,220,138,68,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,4035.2099343508526,1.3032952913583564,138,82,98.04,8958.166054258894,4691.8630488900835,1831.0891379348222,612,5947.8,22040.9182410838,22101.19803485214,13132.59593375272,60.279793768339005,0.0997272555375809,99.7,100
FRA,KRK,A320neo,100,180,73.5,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3302.540634568892,1.3032952913583564,100,0,98.04,7331.6402087429415,4691.8630488900835,1903.7008314423128,666,4310,18903.204089075338,16015.360894820391,0,-2887.843194254947,0.0655731713974846,65.6,55.6
FRA,KRK,A320neo,120,180,73.5,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3302.540634568892,1.3032952913583564,120,0,98.04,7331.6402087429415,4691.8630488900835,1903.7008314423128,666,5172,19765.204089075338,19218.43307378447,0,-546.7710152908694,0.0685633562083918,68.6,66.7
FRA,KRK,A320neo,140,180,73.5,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3302.540634568892,1.3032952913583564,140,0,98.04,7331.6402087429415,4691.8630488900835,1903.7008314423128,666,6034,20627.204089075338,22421.505252748546,0,1794.301163673208,0.07155354101929898,71.6,77.8
FRA,KRK,A320neo,160,180,73.5,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3302.540634568892,1.3032952913583564,160,0,98.04,7331.6402087429415,4691.8630488900835,1903.7008314423128,666,6896,21489.204089075338,25624.577431712623,0,4135.3733426372855,0.07454372583020617,74.5,88.9
FRA,KRK,A320neo,180,180,73.5,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3302.540634568892,1.3032952913583564,180,0,98.04,7331.6402087429415,4691.8630488900835,1903.7008314423128,666,7758,22351.204089075338,28827.649610676704,0,6476.445521601367,0.07753391064111335,77.5,100
FRA,KRK,A320neo,200,180,73.5,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3302.540634568892,1.3032952913583564,180,20,98.04,7331.6402087429415,4691.8630488900835,1903.7008314423128,666,7758,22351.204089075338,28827.649610676704,3203.072178964078,6476.445521601367,0.07753391064111335,77.5,100
FRA,KRK,A320neo,220,180,73.5,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3302.540634568892,1.3032952913583564,180,40,98.04,7331.6402087429415,4691.8630488900835,1903.7008314423128,666,7758,22351.204089075338,28827.649610676704,6406.144357928156,6476.445521601367,0.07753391064111335,77.5,100
FRA,KRK,A321neo,100,215,89,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3812.0583816029553,1.3032952913583564,100,0,98.04,8462.769607158561,4691.8630488900835,2094.8360225192037,801,4310,20360.46867856785,16015.360894820391,0,-4345.107783747459,0.059130640227750095,59.1,46.5
FRA,KRK,A321neo,120,215,89,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3812.0583816029553,1.3032952913583564,120,0,98.04,8462.769607158561,4691.8630488900835,2094.8360225192037,801,5172,21222.46867856785,19218.43307378447,0,-2004.0356047833811,0.06163405076711425,61.6,55.8
FRA,KRK,A321neo,140,215,89,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3812.0583816029553,1.3032952913583564,140,0,98.04,8462.769607158561,4691.8630488900835,2094.8360225192037,801,6034,22084.46867856785,22421.505252748546,0,337.03657418069633,0.0641374613064784,64.1,65.1
FRA,KRK,A321neo,160,215,89,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3812.0583816029553,1.3032952913583564,160,0,98.04,8462.769607158561,4691.8630488900835,2094.8360225192037,801,6896,22946.46867856785,25624.577431712623,0,2678.108753144774,0.06664087184584257,66.6,74.4
FRA,KRK,A321neo,180,215,89,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3812.0583816029553,1.3032952913583564,180,0,98.04,8462.769607158561,4691.8630488900835,2094.8360225192037,801,7758,23808.46867856785,28827.649610676704,0,5019.180932108855,0.06914428238520673,69.1,83.7
FRA,KRK,A321neo,200,215,89,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3812.0583816029553,1.3032952913583564,200,0,98.04,8462.769607158561,4691.8630488900835,2094.8360225192037,801,8620,24670.46867856785,32030.721789640782,0,7360.253111072932,0.07164769292457088,71.6,93
FRA,KRK,A321neo,220,215,89,50.033333,8.570556,50.077702,19.7848,DE,2.5,28.1,PL,2,15,97.79,98.29,800.7680447410195,432.38015374785067,3812.0583816029553,1.3032952913583564,215,5,98.04,8462.769607158561,4691.8630488900835,2094.8360225192037,801,9266.5,25316.96867856785,34433.02592386384,800.7680447410195,9116.05724529599,0.073525250829094,73.5,100
FRA,POZ,A319,100,138,68,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3650.698966766789,1.104104705528356,100,0,98.04,8104.5517062222725,3974.7769399020813,1448.483956310067,612,4310,18449.81260243442,12668.95905287638,0,-5780.85354955804,0.1055290285985928,105.5,72.5
FRA,POZ,A319,120,138,68,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3650.698966766789,1.104104705528356,120,0,98.04,8104.5517062222725,3974.7769399020813,1448.483956310067,612,5172,19311.81260243442,15202.750863451656,0,-4109.061738982764,0.11045948640931247,110.5,87
FRA,POZ,A319,140,138,68,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3650.698966766789,1.104104705528356,138,2,98.04,8104.5517062222725,3974.7769399020813,1448.483956310067,612,5947.8,20087.61260243442,17483.16349296941,253.3791810575276,-2604.449109465011,0.11489689843896017,114.9,100
FRA,POZ,A319,160,138,68,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3650.698966766789,1.104104705528356,138,22,98.04,8104.5517062222725,3974.7769399020813,1448.483956310067,612,5947.8,20087.61260243442,17483.16349296941,2787.1709916328036,-2604.449109465011,0.11489689843896017,114.9,100
FRA,POZ,A319,180,138,68,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3650.698966766789,1.104104705528356,138,42,98.04,8104.5517062222725,3974.7769399020813,1448.483956310067,612,5947.8,20087.61260243442,17483.16349296941,5320.96280220808,-2604.449109465011,0.11489689843896017,114.9,100
FRA,POZ,A319,200,138,68,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3650.698966766789,1.104104705528356,138,62,98.04,8104.5517062222725,3974.7769399020813,1448.483956310067,612,5947.8,20087.61260243442,17483.16349296941,7854.754612783356,-2604.449109465011,0.11489689843896017,114.9,100
FRA,POZ,A319,220,138,68,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3650.698966766789,1.104104705528356,138,82,98.04,8104.5517062222725,3974.7769399020813,1448.483956310067,612,5947.8,20087.61260243442,17483.16349296941,10388.546423358632,-2604.449109465011,0.11489689843896017,114.9,100
FRA,POZ,A320neo,100,180,73.5,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,2835.634459645387,1.104104705528356,100,0,98.04,6295.108500412759,3974.7769399020813,1505.9234719006226,666,4310,16751.808912215463,12668.95905287638,0,-4082.849859339083,0.07345955155386971,73.5,55.6
FRA,POZ,A320neo,120,180,73.5,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,2835.634459645387,1.104104705528356,120,0,98.04,6295.108500412759,3974.7769399020813,1505.9234719006226,666,5172,17613.808912215463,15202.750863451656,0,-2411.058048763807,0.0772395692087548,77.2,66.7
FRA,POZ,A320neo,140,180,73.5,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,2835.634459645387,1.104104705528356,140,0,98.04,6295.108500412759,3974.7769399020813,1505.9234719006226,666,6034,18475.808912215463,17736.542674026932,0,-739.2662381885311,0.08101958686363987,81,77.8
